OrderId, ProductId, Quantity, ReservationToken, Price, Timestamp
1,1,1,1-639239907570165830,400,16051039305875
2,1,1,1-639239907649888520,400,16059012452833
3,1,1,1-639239907695476600,400,16063571287333
4,3,1,3-639239907951257410,400,16089149667083
